ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,YEAR/MONTH/DAY,ELEMENT,DATA VALUE,M-FLAG,Q-FLAG,S-FLAG,OBS-TIME
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750101,TMAX,87,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750628,TMAX,260,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750101,TMIN,71,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750628,TMIN,210,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750101,PRCP,0,T,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750628,PRCP,9,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750101,TAVG,78,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750628,TAVG,228,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750102,TMAX,81,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750629,TMAX,242,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750102,TMIN,66,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750629,TMIN,216,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750102,PRCP,0,T,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750629,PRCP,29,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750102,TAVG,75,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750629,TAVG,223,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750103,TMAX,78,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750630,TMAX,238,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750103,TMIN,56,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750630,TMIN,212,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750103,PRCP,18,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750630,PRCP,43,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750103,TAVG,67,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750630,TAVG,219,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750104,TMAX,107,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750701,TMAX,266,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750104,TMIN,51,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750701,TMIN,217,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750104,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750701,PRCP,0,T,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750104,TAVG,73,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750701,TAVG,235,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750105,TMAX,84,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750702,TMAX,273,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750105,TMIN,67,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750702,TMIN,234,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750105,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750702,PRCP,1,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750105,TAVG,77,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750702,TAVG,249,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750106,TMAX,85,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750703,TMAX,314,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750106,TMIN,66,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750703,TMIN,231,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750106,PRCP,1,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750703,PRCP,61,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750106,TAVG,75,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750703,TAVG,265,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750107,TMAX,122,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750704,TMAX,334,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750107,TMIN,74,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750704,TMIN,265,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750107,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750704,PRCP,4,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750107,TAVG,88,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750704,TAVG,283,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750108,TMAX,107,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750705,TMAX,276,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750108,TMIN,64,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750705,TMIN,237,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750108,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750705,PRCP,143,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750108,TAVG,85,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750705,TAVG,258,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750109,TMAX,123,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750706,TMAX,330,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750109,TMIN,80,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750706,TMIN,235,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750109,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750706,PRCP,0,T,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750109,TAVG,97,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750706,TAVG,272,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750110,TMAX,102,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750707,TMAX,348,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750110,TMIN,36,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750707,TMIN,254,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750110,PRCP,1,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750707,PRCP,0,,,s,
CHM00057515,29.517,106.483,351,,CHONG-QING,,,19750110,TAVG,75,,,s,
